Nom de l’entreprise	Activité	CA 2012	CA 2013
PROCHIDIA (16)	Ind/Pharmaceutique	19409	23348
VECTORYS TUNISIE	Transport	31342	23063
MIXAL (8)	Ind/Bois	19381	22958
SOTREGAMES - GABES	Transport	18189	22888
STE TNNE EMEBALLAGES MODERNES - STEM	Emballage	22013	22685
CIE DIST ELECTROMENAGER - WHIRLPOOL (14)	Commerce/Distribution	18000	22680
LA PREFORME (2)	Emballage	20260	22061
GLE INDUSTRIE PEINTURE	Industrie	18100	21700
H.H.W SA- HAIER (8)	Commerce/Distribution	21319	21699
SOCIETE COMMERCIALE TUNISIENNE	Transport/Services	19187	21604
ESSOUKNA	Immobilier	19428	21526
REVOLON	Commerce	23100	21510
STE REGIONALE TRANSPORT MEDENINE	Transport terrestre	18532	21382
FILATURE ITALIENNE	Textile	24598	21342
SOFAP (15)	M.C.C.V	29201	20895
COMPTOIR SUD PAPIER	Commerce	20937	20763
STECOM	Industrie	19083	20668
STE NOUVELLE ACCUMULATEUR NOUR	Industrie	16329	20620
SERVITRA	Télécommunications	14000	20562
OFFICE DEVELOPPEMENT NORD-OUEST	Services	11681	20373
TECHNIPLAST INDUSTRIE (10)	I.E.E	17430	20290
GROUPE OXIA	TIC	16197	20234
STE INDUSTRIELLE DE MEDICAMENT	Ind/Pharmaceutique	18706	20200
SOCIETE TUNISIENNE DE SUCRE	I.A.A	15809	20092
HOTEL NOURI PALACE (17)	Tourisme	17222	19845
CENTRALE MATERIEL EQUIPEMENT- CME (17)	Commerce	17838	19649
ZITA (9)	I.A.A	61039	19225
STE  CANAL EAUX NORD - SECADENORD	Distribution Eaux	18474	19166
INDUSTRIE GENERALI TUNISIA	Industrie	21092	18982
NCI (15)	M.C.C.V	14747	18792
STE NOUR DISTRIBUTION	Commerce	13908	18561
STE TNNE EMAIL- SOTEMAIL	Industrie	21968	18293
CARTONNERIE TUNISIENNE	Industrie	15742	18118
GROUPE SITS	Immobilier	19920	18067
SOFI PECHE	I.A.A	22400	18000
DR.OETKER GIAS (9)	I.A.A	13523	17932
STE TOURISTIQUE MANSOUR TABARKA- COGIT (14)	Tourisme	16000	17837
STE TOURISTIQUE EL MOURADI (12)	Tourisme	19168	17630
STE CONSERVE ALIMENTAIRE PRODUCTEUR CAP BON	I.A.A	16571	17629
ELEONETECH (10)	I.E.E	15541	17290
EMS (15)	M.C.C.V	13450	16864
CIE AFRICAINE PEINTURES- VALENTINE (14)	Chimie	17318	16754
STE TRANSPORT DU SAHEL	Transport terrestre	17657	16704
SANI SUD	Commerce/Santé	14863	16703
AL NASEEM	I.A.A	16331	16415
ABV TUNISIE (11)	Tourisme	15024	16333
ATTIJARI ASSURANCES	Assurances		16294
SOCIETE AL KHOUTAF	Industrie/Imprimerie	19759	15810
ARAB INTERNATIONAL LEASE	Leasing	15303	15715
BITS INFORMATIQUE	TIC	12747	15629
DIGICOM S2I	TIC		15604
COMETE ENGINEERING	Services	12735	15537
STE EL HAMMAM (11)	Tourisme	12999	15442
STE PLACEMENT DEVELOPPEMENT TOURISTIQUE (2)	Tourisme	10001	15427
