Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
216	IND CAROSS.AUTO  MATERIELS ELEVATEURS- SICAME (12)	I.M.E	40942	32125
217	HANNIBAL LEASE	Leasing		32014
218	AGENCE FONCIERE INDUSTRIELLE- AFI	Immobilier	35154	32000
219	IMPRIMERIE OFFICIELLE REPUBLIQUE TNNE	Imprimerie	20732	31708
220	CAIR TUNISIE	Ind/Pharmaceutique	27461	31117
221	ASSURANCE HAYETT	Assurances	27553	30556
222	INDUS NOUVELLES PLASTIQUE- INOPLAST (8)	Plastique	38425	30179
223	STE TUNISO-FRANCAISE COMMERCE EXTERIEUR- TFCE (HT)	Textile		30060
224	BONNA BETON MATERIAUX PREFABRIQUES	M.C.C.V	33000	30000
225	CENTRE NATIONAL PEDAGOGIQUE	Services	28691	29954
226	PROCHIDIA (16)	Ind/Pharmaceutique	23348	29350
227	AIR LIQUIDE TUNISIE	Chimie	34361	29286
228	STE REG TRANSPORT GAFSA- EL GOUAFEL	Transport terrestre	27989	29001
229	COMPAGNIE TUNISIENNE DE FORAGE- CTF	Energie	37835	28830
230	SOMEF-TUNISIE	I.E.E	27520	28300
231	STE IND PARFUMERIE PRODUITS COSMETIQUES- SATEM	Ind/Cosmétique	27170	28264
232	STE ALTRAD CEDRIA	I.M.M	25000	28250
233	STE HIGHT MAGHREB TECHNOLOGY- HMT (8)	Commerce	54946	28171
234	CARTE VIE	Assurances	27127	28075
235	INDUSTRIE GENERALI TUNISIA	Industrie	18982	27977
236	GENERALE CONFORT ELECTRONABLI	Commerce / Distribution	24625	27976
237	INDUS APPAREILLAGE MATERIELS ELECTRIQUES	I.E.E	24361	27895
238	FATALES (16)	Ind/Cosmétique	24250	27651
239	MODERNE CONFECTION	Textile	27000	27500
240	MEDICARS (18)	Services	5076	27430
241	STE NAT TRANSPORT INTERURBAIN- SNTRI	Transport terrestre	26372	27321
242	SOTREGAMES - GABES	Transport	23544	27135
243	EL MAWASSIR	Chimie	28000	27000
244	HOTEL NOURI PALACE (19)	Tourisme/Hôtellerie	17222	26973
245	STE IMMO PARTICIPATIONS- SIMPAR	Immobilier	38592	26807
246	SOFI PECHE	I.A.A	18284	26517
247	CHRISTINE CONFECTION	Textile	27896	26094
248	MEDITERRANEAN INDUSTRIEL GROUP- MIG (6)	I.M.M	32000	26000
249	STE ENGRAIS PROD CHIMIQUE MEGRINE- SEPCM-TUNISIE	Chimie	25933	25810
250	STE TNNE EXPLOSIFS MUNITIONS- SOTEMU	Industrie	24367	25803
251	TECHNIPLAST INDUSTRIE (9)	Industrie	20221	25776
252	MAGHREB REVETEMENT	BTP	25144	25699
253	GROUPE SITS	Immobilier	18067	25655
254	TOPEKA	Textile	31064	25589
255	ETANCHEITE TUNISIENNE (15)	Industrie/Chimie	23761	25351
256	GROUPE ATALANTA	Commerce	35862	25530
257	COMPTOIR SUD PAPIER	Commerce	20763	24996
258	MIXAL (8)	Ind/Bois	22958	24684
259	STE REGIONALE TRANSPORT GOUVERNORAT NABEUL	Transport terrestre	24150	24377
260	SANIMED (13)	Commerce		24103
